Country,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Guatemala,3.676232911,4.33437075,4.816683947,6.33731461,4.971641759,5.070397172,5.146507708,5.390300002,5.476202515,5.815896145,5.343573184,5.310930765,4.920136355,6.063373757
Guam,,,,,,,,,,,,,,
Guyana,0.343429748,0.110975926,0.041325773,0.189114951,0.230409936,0.123526347,0.296978499,0.217317495,0.177562735,0.197005818,0.090739337,0.215506908,,
High income,20.61222896,20.08390247,21.42785142,21.12119214,19.22535836,18.72732184,18.89557376,18.6428859,19.55657323,19.75853181,20.15994963,20.02886467,20.43386799,
"Hong Kong SAR, China",21.61775211,24.39024971,33.7878947,36.79520761,20.80910312,18.4953547,13.90104709,11.39063745,12.30272072,13.47080891,61.55535972,64.65500016,65.56644476,69.65047817
Honduras,1.436866979,,2.3120572,2.631471141,1.727579708,2.795222971,,2.579693833,1.308471322,2.837923166,3.123585428,1.962644177,1.966731342,
Heavily indebted poor countries (HIPC),,,,3.317556671,6.681187416,7.618728254,5.648172964,6.406548492,4.604890831,5.171645927,4.23372857,5.179696844,,
Croatia,9.500559396,9.519285813,11.30824574,10.1821118,8.691106142,11.81205624,12.49349728,10.43897802,10.70642049,14.4016891,8.734939379,8.837440802,8.304374303,
Haiti,,,,,,,,,,,,,,
Hungary,26.0009524,24.96553561,26.72776271,25.92845675,25.17934673,21.22584037,19.38045334,16.69571175,17.08323362,17.607383,17.19094936,16.83471465,17.45780148,
IBRD only,,16.92899114,20.24534135,20.0176027,18.24127507,19.29616202,19.97065342,19.88200369,20.98619721,20.77730934,21.40690975,21.59953666,22.29178138,
IDA & IBRD total,,16.56608635,19.60656859,19.15288578,17.53840514,18.53081115,19.264949,19.22751073,20.33184747,20.18582922,20.7277161,20.97924764,21.66557941,
IDA total,,,5.041366735,1.813942884,2.797361462,3.526939873,3.33861706,4.096553633,5.327039105,5.087793417,3.532269659,3.515768293,,
IDA blend,,,2.973629079,1.636455478,1.459513305,2.051023855,2.900281071,2.284153504,7.188566305,3.124073217,2.539410423,2.049476347,2.601420075,
Indonesia,,,,12.093252,10.6569836,10.69647796,9.606564288,9.305979485,8.903089763,8.002947978,8.455446755,8.222591579,8.097892919,
IDA only,,,,2.009210207,4.439593125,5.318891163,3.767565984,,4.054132696,6.320815808,,,,
Isle of Man,,,,,,,,,,,,,,
India,,,9.678178305,7.809744084,7.891523386,7.729531408,8.883288734,9.226508963,8.039628032,7.681523693,7.389559618,9.081063796,10.29886438,
Not classified,,,,,,,,,,,,,,
Ireland,30.77473899,28.86986019,26.48791557,22.91752332,24.91812668,25.6204253,24.98408574,24.9275132,28.35438307,32.84874345,29.19505191,24.82553629,25.9734867,25.72791698
"Iran, Islamic Rep.",,,,,4.495728023,,1.605253429,1.595942691,1.601338158,1.398752641,1.363255652,0.829719049,,
Iraq,,,,,,,,,,,,,,
Iceland,60.71198415,40.88715252,31.53946038,21.15775407,21.05263442,15.39351807,15.73542791,17.12339434,20.13938729,23.38923164,26.37598498,23.47336502,38.07920363,28.35889562
Israel,7.626273484,17.06157585,23.3968275,19.37617209,18.3995425,19.89187058,19.03549644,19.41371306,22.89572703,21.83221755,21.06833006,22.54165881,23.09242282,27.8502054
