Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Bahamas, The",,,,,,,,,,,,,,,,,,506100000,611900000,894800000,990900000,1086200100,1141100000,1232300000,1599600000,1747700000,1870800000,2054100000,,2329790000,2396180000,2491670000,2435600000,2459830000,2613740000,2810110000,3030110000,4394100000,4787200000,5163200000,5374500000,5838100000,5886400000,5998700000,6203600000,6804800000,7297100000,7487300000,7625000000,7313200000,7491000000,7726900000,8217700000,8065000000,8475800000,8941900000,9034500000,9844700000,10014300000,9842500000,7999900000
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6985425212,7221122261,8144396710,10248016278,11784966762,12842326584,14095740613,16895333998,20506606161,19001859566,18360337864,19823002865,18625405279,19349412109,19629097327,16570999742,16758387760,17486934805,19031256858,18778063715,18851500641
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15400000000,,,,14217000000,10742555556,11887538462,10917692308,11862152174,9497092369,9731143654,9782194245,11751367951,13996538274,17203101852,21983008357,26120372960,31845526561,41612172285,36786788400,41009331991,38384864322,40474055416,48856159910,52475401017,38275806857,33483614797,38368162294,41597320377,45606319916,41198967044
Belize,,,,,,,,,,,,,,,,,,,,,127076317.5,135460401.8,134224977.1,133567177.4,131731689.9,141428047.3,139697336.3,163972665.4,186922108.6,214357928.2,222123563.7,251750000,439903400,465309650,500901950,534253350,569188450,592298550,632322950,680011850,723881750,793755250,862026200,910018050,940458100,957543650,977085750,1041820550,1095352100,1144749150,1191825500,1260928750,1296492200,1365034450,1414976700,1469499450,1599057800,1580755600,1619119850,1600919950,1404085207
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4088996000,4010713000,4009754000,4018507000,3965905000,4069755000,4205443000,4343386000,4368343000,4471912000,4098500000
Bolivia,346416467.7,389322025.4,418037029,447753718.8,472378503.8,533417508.4,595454545.5,674326599.3,739898989.9,795791245.8,848063973.1,944023569,1040917638,1012793603,1615592204,2002048976,2268315842,2701799100,3112493753,3642744066,3670473083,4934747145,4729076956,4472650348,5089431776,4534582948,3596083165,3950277636,4155811321,4200555044,4313523710,4804058258,5210159979,5318443413,5452684125,6002812116,6543011075,7023453552,7586377561,7591996593,7634106089,7410028001,7098072385,7074841106,7384244330,7858130447,8832722427,10139794936,12589309921,13908505413,14959204612,17848012253,19756346744,22696563386,25619724168,28352112446,29314157019,31760847033,34057574819,35410348770,32584159624
Brazil,,11992000784,16282880590,18604727521,17115832349,16951827614,21453709340,25416088595,27673985822,29061029039,33810560993,39662117474,47073605518,61826422207,84615479016,95414734766,1.21044E+11,1.38464E+11,1.57058E+11,1.78372E+11,1.8545E+11,2.03719E+11,2.24138E+11,1.64482E+11,1.64369E+11,1.68649E+11,2.1034E+11,2.18881E+11,2.3817E+11,2.41632E+11,3.07085E+11,2.72265E+11,2.57897E+11,2.86337E+11,4.07178E+11,6.5112E+11,7.22082E+11,7.49356E+11,7.27356E+11,5.06475E+11,5.46385E+11,4.67312E+11,4.16544E+11,4.51735E+11,5.26558E+11,7.07906E+11,8.80304E+11,1.10118E+12,1.33244E+12,1.36039E+12,1.75028E+12,2.06528E+12,1.97075E+12,1.99328E+12,2.01673E+12,1.5092E+12,1.51971E+12,1.74689E+12,1.62002E+12,1.59319E+12,1.20213E+12
Barbados,,,,,,,,,,,,,,,,365174496.3,397974847.8,433212577.2,483200914.8,584497588.6,665937453.4,773877591.6,791527867.5,828916621.1,904688509.9,921443842.3,1102272162,1215581962,1218465669,1348481082,1686620594,1724009347,1671300000,1748421419,1775667479,1953562373,2059911500,2213245165,2426291453,2576343658,2691200000,2749300000,2754400000,2768200000,3079300000,3446250000,3513496050,3959358250,4252591350,3848918550,4221510750,4363015250,4262971600,4388392850,4376949500,4259147900,4307564750,4446282900,4596114850,4671636350,4093000000
Brunei Darussalam,,,,,,,,,,,,,,,263449464.5,330620334.8,277238141.5,301713536.1,294195250.7,405591833,752848869.8,598759880.7,662616822.4,799810695.7,,,,,,1520791673,1707586207,1828548275,2269490485,2643272682,2691501899,3001269931,3268085106,3349946121,2841180688,2903244838,3039279582,3122305632,3083575561,3369624613,3827177375,3895461728,4344074517,5240130051,5012983347,5113776983,5053171984,5835917005,6133162612,6409846547,6329913181,5798930468,5400894592,5694482077,5926601898,6127478962,5905703851
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234902677,193875839.9,214727750.8,171849563.8,170921511,187896749.9,234967626.3,307472660.4,324665945.2,354575438.9,308514147.8,289877181.6,350217292.7,412781771.1,478522372,607189780,522708861.8,873030995.1,803141185.4,876925266.4,1018167054,1078691840,986960673.5,1322755001,1302772757,1473613799,1450154792,1692979670,1834253942,1936533074,1919824458
Botswana,33463900.18,36184273.12,39069115.38,41765972.32,44744179.56,48373586.49,51394700.14,59064853.56,72315202.23,70811864.64,87520938.02,99382369.46,118788819.9,176343466.4,232523914.6,278093306.3,305657773.7,383610451.3,472893021,605950920.2,777985074.6,842117843.9,782023890.5,833394110.7,840110905.7,690555030,826007131.1,1136160581,1317592694,1566678247,2174630476,2377077562,2611176945,2634951096,2847798555,3287100498,2984056314,3194587488,3208760264,3297033129,3370241875,3180750531,3249960492,4550920402,5403020904,5704114058,5653776667,6261420766,7050892294,7367670599,8810355570,9949459083,10247483803,10516162831,11313766558,10570174746,10433264228,11399047104,12215421569,12578212888,12178060788
Central African Republic,102367473.1,108456325.3,111830402.7,118359453.5,128149075.7,134252347.1,146940068.8,161787977.2,170864424.5,176565252.6,173297586,179040625.5,208310518.4,235991694.5,281672937.8,397548771,429377507.1,494953388.5,608005374.6,721130341.3,867603613.4,701313034,788551878,662859418.8,636548431.7,815063782.2,1095967467,1177873178,1224419016,1164872513,1384523449,1320736926,1370903821,1214009195,765317728.8,1025210138,976233324.3,862438565.4,916291805.5,917550984.2,858194067.3,886874414.4,937439181,1064011668,1250215860,1314060964,1424481072,1674869405,1979321169,1936197852,1926754977,2209052165,2488168298,1707411790,1852231856,1648416295,1796246947,2010650698,2269725347,2202073352,2360541564
Canada,,32695764217,33158772309,35119813037,37861761304,41188960407,45754406574,50204501458,55424954340,61109333670,68244808116,77093483858,87874532781,99246075392,1.19651E+11,1.34727E+11,1.58085E+11,1.63887E+11,1.69086E+11,1.83261E+11,2.06358E+11,2.27787E+11,2.40959E+11,2.62854E+11,2.70304E+11,2.78941E+11,2.93988E+11,3.3135E+11,3.85039E+11,4.32368E+11,4.6768E+11,4.97969E+11,4.88272E+11,4.72139E+11,4.59691E+11,4.69529E+11,4.86733E+11,5.0257E+11,4.87672E+11,5.12667E+11,5.48459E+11,5.51306E+11,5.76498E+11,6.76776E+11,7.61145E+11,8.6085E+11,9.71873E+11,1.08661E+12,1.15202E+12,1.09334E+12,1.26919E+12,1.38173E+12,1.40927E+12,1.4157E+12,1.37351E+12,1.22477E+12,1.21525E+12,1.29764E+12,1.35451E+12,1.36889E+12,1.31547E+12
Central Europe and the Baltics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.05478E+11,3.26834E+11,3.21653E+11,3.51236E+11,3.44551E+11,3.39851E+11,3.73745E+11,4.24615E+11,5.08396E+11,6.02916E+11,6.96569E+11,7.76671E+11,9.62811E+11,1.17602E+12,1.00427E+12,1.02309E+12,1.10871E+12,1.03847E+12,1.08246E+12,1.10257E+12,9.56793E+11,9.82671E+11,1.08868E+12,1.22509E+12,1.24227E+12,1.24236E+12
Switzerland,,,,,,,,,,,15470506289,18488949418,22693100045,30815388650,35980043970,43273942587,46356307809,49980178490,69141479306,78533221267,83374531837,76307238570,78566404965,79602750703,74503110184,74946636686,1.0692E+11,1.33758E+11,1.42522E+11,1.36124E+11,1.72222E+11,1.79647E+11,1.91421E+11,1.86191E+11,2.03849E+11,2.40214E+11,2.34763E+11,2.04394E+11,2.08694E+11,2.05951E+11,1.89305E+11,1.94615E+11,2.11626E+11,2.49421E+11,2.76062E+11,2.81681E+11,2.87422E+11,3.11173E+11,3.57805E+11,3.62327E+11,3.85972E+11,4.59036E+11,4.40321E+11,4.54672E+11,4.6473E+11,4.46846E+11,4.42586E+11,4.50779E+11,4.62303E+11,4.6002E+11,4.72776E+11
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,3656117233,4101704730,4821067390,4968095942,5190017067,5077129303,5836005352,5788496880,5939127675,6914298059,7565831969,9417944892,10825503421,15816512078,12671791683,6773785029,8572399501,12200416498,13676506094,18542093234,24140937467,30432504893,23033758903,17506786651,16324486340,14129928209,14745686697,16666367099,18299369007,20985591947,23715443094,27610373365,34393549729,37437047138,42519764030,53165610536,57458366528,63057199141,62272192102,57842608851,59279944212,53929893590,52618364648,55943767471,69794484576,85407621250,1.00136E+11,1.1358E+11,1.27766E+11,1.22737E+11,1.53924E+11,1.8172E+11,1.96545E+11,2.08646E+11,1.97516E+11,1.86437E+11,1.93287E+11,2.14765E+11,2.32463E+11,2.17467E+11,1.89525E+11
China,37557592790,40332255845,40058893679,41155114059,43709858742,46953130258,50752657442,51879776359,51615143761,55164796994,59171978638,63084030839,73080922832,87910466970,92173551020,1.01314E+11,1.01329E+11,1.10632E+11,90797494362,1.1213E+11,1.23653E+11,1.30087E+11,1.36521E+11,1.55602E+11,1.70952E+11,2.01386E+11,1.95096E+11,1.71379E+11,1.9402E+11,2.23556E+11,2.29683E+11,2.3738E+11,2.54934E+11,2.59496E+11,3.28319E+11,4.33841E+11,5.18658E+11,5.73581E+11,6.2207E+11,6.84528E+11,7.70063E+11,8.29531E+11,8.96792E+11,9.63332E+11,1.08006E+12,1.24321E+12,1.44686E+12,1.81054E+12,2.28675E+12,2.55495E+12,2.97744E+12,3.78778E+12,4.36361E+12,4.94954E+12,5.50235E+12,5.97223E+12,6.18265E+12,6.75443E+12,7.65017E+12,7.99942E+12,8.07133E+12
Cote d'Ivoire,387310733,449906174.3,488905792.7,537690958.6,614299650.8,656979556.9,721675152.2,788208478.5,890272291.6,963607584.8,1031102790,1178835454,1380007629,1863706279,2169463207,3014284336,3334163559,4158259743,5621390821,6865780939,8103953048,6844624251,6032142479,5494323704,5119500529,5070749298,7200452198,8460819920,8691427384,8598027174,9579475635,9403113176,10129139030,9573420049,6240666124,8479496712,15121114546,14646280539,15502035163,15812357010,13840825829,14113140752,14652242956,17385974291,19541386514,20484461184,21192825620,24941546565,27853260144,27483518835,27527270930,28459435043,29000202603,32977581460,36508216785,34140978604,36732271852,40537257212,46161867975,46123045992,47104173412
Cameroon,,,,,,716148521.9,759529520.7,825606720.1,932685503.6,977071160.4,948976303.4,1082233362,1310177957,1585989830,1731997711,2368032924,2525209108,2520761771,3414047645,4654910477,5223268172,5313517062,4656788389,5004723525,5221089295,6265817687,8772821592,10310125720,9670154105,8802591962,9767696831,9231606801,10075491435,12883277734,6889377331,8246981010,8788743611,8360145043,9025283122,9334996904,8561252380,9012064627,10314764207,13299221952,15413922472,15966050913,16931323925,19353159533,23046149302,23589839116,23181219392,25831113653,25415239317,28245958630,30522710755,27479191351,28039058355,29980454888,33408961979,33618648566,34866586401
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5219453782,4849128205,4182343563,5710369956,6277819811,4279592873,17118481088,7018855767,7902223722,8625280893,9434602460,11323946708,12994676881,14777151210,18771305003,17670428064,17197357667,21001205758,27084079383,27036541222,29374480784,31970750957,31910171624,29926943355,39039275428,41603723926,37356111107
"Congo, Rep.",147496233.8,150990457.7,160132881.8,169879925.9,181953580.7,187708454.4,200668832.8,222763403.2,244380671.5,260039301.2,271704608.4,301064394.5,387655933.1,432501842.3,416693116.9,680780305.7,718140317.8,712310483.8,791029282,902118375.2,1097597917,1393655377,1156094861,1161478477,1175860309,1489550765,1560490290,1772905751,1796216886,1724720071,1437411437,1795329777,1588540180,1583947694,1083135986,1318762276,1491457376,1447753403,1358121087,1223422913,1132117609,1338213294,1459199284,1489305671,2351956978,2898562017,3418733688,4434857578,5132103171,5064651389,5230378152,6336257256,6628772498,7193960663,7932675424,6874110349,6821122524,6634144013,7216445324,7051434190,7603442405
Colombia,3201465079,3671667851,4057909972,3995653011,4979916344,4772761905,4630888889,4784272095,4884266221,5327363942,5834408649,6618773610,7059913018,8197923781,9850815565,10636326894,12163597060,15105780683,18352193375,22374031395,26824293598,30181577267,32651695071,32102209682,31219976691,27802696475,26261021266,27632336617,29637130051,29987489763,36574770039,37489177790,46746860756,53733104249,65675207928,74589545559,81123099804,90650161373,84825172943,74616518093,85843702230,85537119572,84346105146,80145882799,97038251619,1.19152E+11,1.31307E+11,1.6655E+11,1.91879E+11,1.86661E+11,2.28374E+11,2.60994E+11,2.93429E+11,3.04284E+11,3.05708E+11,2.44431E+11,2.36444E+11,2.60089E+11,2.79189E+11,2.72675E+11,2.3778E+11
Comoros,,,,,,,,,,,,,,,,,,,,,212303422.3,196434610.8,184085075.2,191703309.8,184775021.6,196810660.7,279316090.2,337668949.3,356654469.1,341624096.9,429802121.1,424293125.4,457585035.5,453075679.4,319326088.4,398630078.1,396223218.5,364600930.5,370262722.8,382615241.3,351284881.8,378672207.8,426145367.7,547117410,633974162,654123291.4,698730434.9,782290592.1,920484304.9,916950862.7,927022328.7,1064691960,1084586672,1169695217,1203387359,1003651709,1045513801,1108990141,1216258971,1239585303,1354801103
Cabo Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1217198435,1389547577,1405280465,1355587587,1517026728,1432116200,1530794282,1549666224,1342343936,1338312511,1472022635,1561542920,1569419876,1434404837
Costa Rica,443517910.7,418332161.6,401903730.8,441497120.3,478308596.9,540332075.5,562732075.5,608392452.8,670626415.1,728377358.5,848996226.4,926076851.1,1044476262,1254934705,1470542245,1702905484,1986487748,2494690782,2973197200,3428436406,4047129522,1990975633,1887060339,2409288902,2814543021,2973255446,3267594982,3490947905,3568059111,4058762175,4545463185,6205031837,7287933880,8265134776,8961716308,9723021008,10076459750,10639236811,11145903058,11595347880,12007539002,12736226086,13607656381,14338882694,15244161502,16699761850,18649650072,22046947072,25928247009,25224333732,30887350504,35769229441,39623439991,42437333014,43299633444,46230739278,47530349175,49309509081,50621792562,52167877286,50553927346
Caribbean small states,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
