,Country,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Traffic Commute Time Index,Pollution Index,Climate Index
29,Israel,120.43,88.18,69.60,76.35,41.25,65.21,-
30,South Korea,120.03,85.83,82.01,78.15,31.33,77.11,-
31,Lithuania,112.85,46.86,63.31,70.11,31.33,29.60,-
32,Croatia,112.34,50.47,70.66,57.26,30.50,32.76,-
33,Singapore,111.29,75.40,82.41,66.14,44.07,40.40,-
34,South Africa,110.92,101.78,21.56,60.09,42.98,65.19,-
35,Poland,109.74,63.49,67.01,58.03,34.67,50.55,-
36,Slovakia,109.09,56.05,66.66,57.34,30.40,47.94,-
37,Italy,100.99,79.35,52.50,65.78,35.91,57.75,-
38,Latvia,99.04,44.39,62.78,67.13,24.00,43.43,-
39,Greece,94.66,51.89,58.65,56.73,33.18,44.87,-
40,Hungary,93.07,46.85,58.24,51.58,30.12,46.25,-
41,Uruguay,93.06,44.87,52.83,67.92,45.00,31.72,-
42,Taiwan,92.50,69.90,78.12,84.29,28.25,67.65,-
43,Panama,89.27,43.34,49.92,82.14,28.12,50.91,-
44,Malaysia,85.32,73.54,30.03,69.14,39.40,64.73,-
45,Mexico,84.97,59.51,46.16,67.79,36.89,68.83,-
46,Bahrain,84.06,59.69,60.03,84.44,27.00,87.36,-
47,Romania,83.63,40.62,70.28,46.57,30.69,50.55,-
48,Hong Kong,82.96,74.93,80.76,80.60,46.25,59.50,-
49,Turkey,82.55,53.63,63.60,74.00,46.32,74.31,-
50,India,78.60,65.79,53.45,66.86,45.24,77.72,-
51,Argentina,77.01,59.38,37.60,75.18,41.39,55.88,-
52,Bosnia And Herzegovina,73.45,44.74,54.18,52.08,21.90,58.54,-
53,Belarus,72.48,35.82,69.50,45.39,30.57,45.12,-
54,Bulgaria,68.30,39.88,56.55,58.47,33.43,63.96,-
55,Chile,65.48,55.11,54.99,58.55,40.83,72.40,-
56,Georgia,64.96,26.21,77.99,62.59,38.00,58.79,-
57,Serbia,60.34,39.15,56.57,54.12,27.79,56.60,-
58,Sri Lanka,49.87,28.24,50.04,74.29,30.83,65.72,-
59,Armenia,49.07,27.74,70.86,48.33,26.09,73.03,-
60,Colombia,47.71,36.08,43.12,68.92,44.55,61.41,-
61,Thailand,47.37,38.75,62.94,82.47,42.36,72.81,-
62,Kazakhstan,47.00,43.48,53.32,58.86,41.80,73.69,-
63,Ecuador,44.52,28.00,45.96,63.08,45.67,53.20,-
64,Dominican Republic,43.60,28.20,32.28,78.70,27.50,65.32,-
65,Moldova,42.13,23.70,50.30,52.69,24.60,57.24,-
66,Jordan,38.61,38.67,54.49,69.71,51.40,85.64,-
67,Philippines,36.95,35.41,56.89,71.66,45.50,74.17,-
68,Lebanon,32.81,50.17,48.02,65.78,32.43,89.11,-
69,Brazil,29.84,41.16,31.05,52.15,46.34,58.03,-
70,North Macedonia,28.85,35.48,63.94,35.12,33.17,82.31,-
71,Russia,28.38,38.86,48.67,51.80,47.08,72.77,-
72,Indonesia,22.70,26.01,52.78,66.09,41.63,74.41,-
73,Pakistan,21.82,33.21,38.84,51.16,25.14,83.73,-
74,Ukraine,20.10,27.87,50.64,44.27,40.04,69.85,-
75,China,15.99,48.64,58.25,58.74,37.48,89.36,-
76,Kenya,7.32,28.74,27.39,62.70,65.20,62.20,-
77,Bolivia,6.55,41.10,34.40,49.75,55.00,94.05,-
78,Nigeria,2.99,40.23,23.40,38.40,58.67,76.29,-
79,Iran,1.07,30.65,49.10,50.12,47.44,82.28,-
80,Cambodia,-4.40,11.93,55.94,54.17,33.33,80.06,-
81,Bangladesh,-5.36,33.43,35.75,43.25,58.00,93.59,-
82,Egypt,-7.07,25.84,39.86,54.69,56.85,96.62,-
83,Vietnam,-19.52,21.32,47.71,34.26,36.40,84.34,-
84,Mongolia,-35.74,23.50,29.75,28.29,36.86,94.55,-
