Country,Year,GDP Total
Comoros,2021,1336313676.2781448
Comoros,2022,1384025840.357338
Comoros,2023,1432626718.8635864
Comoros,2024,1482119422.3798523
Comoros,2025,1532507066.942337
Comoros,2026,1583792774.0450516
Comoros,2027,1635979670.6437683
Comoros,2028,1689070889.1594162
Comoros,2029,1743069567.4838333
Comoros,2030,1797978848.9832916
Costa Rica,2021,81108032383.75
Costa Rica,2022,86437855848.625
Costa Rica,2023,92008634971.0
Costa Rica,2024,97825980036.25
Costa Rica,2025,103895516921.875
Costa Rica,2026,110222887120.875
Costa Rica,2027,116813747748.125
Costa Rica,2028,123673771555.875
Costa Rica,2029,130808646957.0
Costa Rica,2030,138224078029.5
Croatia,2021,65979807943.875
Croatia,2022,66670010252.625
Croatia,2023,67243397674.5
Croatia,2024,67694616983.625
Croatia,2025,68018299586.375
Croatia,2026,68209061523.5
Croatia,2027,68261503430.0
Croatia,2028,68170210549.25
Croatia,2029,67929752695.125
Croatia,2030,67534684245.375
Cuba,2021,123558309335.5
Cuba,2022,130999203372.5
Cuba,2023,138802804684.875
Cuba,2024,146978685519.875
Cuba,2025,155536444928.75
Cuba,2026,164485708817.75
Cuba,2027,173836129949.25
Cuba,2028,183597387984.75
Cuba,2029,193779189501.75
Cuba,2030,204391268028.5
Cyprus,2021,27658051158.65625
Cyprus,2022,28032733686.28125
Cyprus,2023,28367723011.71875
Cyprus,2024,28661108942.75
Cyprus,2025,28910975800.21875
Cyprus,2026,29115402408.53125
Cyprus,2027,29272462090.625
Cyprus,2028,29380222665.5
Cyprus,2029,29436746441.0
Cyprus,2030,29440090205.21875
Czech Republic,2021,285927737897.25
Czech Republic,2022,296404199426.625
Czech Republic,2023,306964861297.0
Czech Republic,2024,317604103388.5
Czech Republic,2025,328316288565.75
Czech Republic,2026,339095762669.125
Czech Republic,2027,349936854500.5
Czech Republic,2028,360833875796.625
Czech Republic,2029,371781121219.875
Czech Republic,2030,382772868339.875
Democratic Republic of the Congo,2021,59487423440.375
Democratic Republic of the Congo,2022,64419972129.625
Democratic Republic of the Congo,2023,69643282608.375
Democratic Republic of the Congo,2024,75165514903.5
Democratic Republic of the Congo,2025,80994851978.75
Democratic Republic of the Congo,2026,87139499758.375
Democratic Republic of the Congo,2027,93607687144.75
Democratic Republic of the Congo,2028,100407666045.5
Democratic Republic of the Congo,2029,107547711387.75
Democratic Republic of the Congo,2030,115036121164.5
Denmark,2021,387528332545.0
Denmark,2022,394259149512.0
Denmark,2023,400744649019.0
Denmark,2024,406971725039.25
Denmark,2025,412927233763.5
Denmark,2026,418597993593.0
Denmark,2027,423970785065.25
Denmark,2028,429032350854.25
Denmark,2029,433769395687.75
Denmark,2030,438168586354.5
Djibouti,2021,3503893206.3203125
Djibouti,2022,3759635258.453125
Djibouti,2023,4027948117.4296875
Djibouti,2024,4309144124.3828125
Djibouti,2025,4603536491.7734375
Djibouti,2026,4911439305.1328125
Djibouti,2027,5233167523.0859375
Djibouti,2028,5569036979.078125
Djibouti,2029,5919364381.2578125
Djibouti,2030,6284467314.15625
Dominican Republic,2021,103906522204.875
Dominican Republic,2022,110157545651.75
Dominican Republic,2023,116673514386.25
Dominican Republic,2024,123460345280.25
Dominican Republic,2025,130523971617.875
Dominican Republic,2026,137870343096.875
Dominican Republic,2027,145505425848.5
Dominican Republic,2028,153435202449.125
Dominican Republic,2029,161665671944.75
Dominican Republic,2030,170202849859.0
Ecuador,2021,143825572510.25
Ecuador,2022,153141608405.5
Ecuador,2023,162898139848.25
Ecuador,2024,173106025314.0
Ecuador,2025,183776153586.25
Ecuador,2026,194919443750.5
Ecuador,2027,206546845265.25
Ecuador,2028,218669337955.5
Ecuador,2029,231297932065.75
Ecuador,2030,244443668276.0
Egypt,2021,398225572020.0
Egypt,2022,422290886661.0
Egypt,2023,447377694138.0
Egypt,2024,473508807504.0
Egypt,2025,500707103042.0
Egypt,2026,528995520368.0
Egypt,2027,558397062415.0
Egypt,2028,588934795542.0
Egypt,2029,620631849622.0
Egypt,2030,653511418034.5
El Salvador,2021,30090601209.929688
El Salvador,2022,31291908456.625
El Salvador,2023,32524541971.476562
El Salvador,2024,33788913573.289062
El Salvador,2025,35085436168.02344
El Salvador,2026,36414523749.42969
El Salvador,2027,37776591400.75781
El Salvador,2028,39172055295.13281
El Salvador,2029,40601332697.03906
El Salvador,2030,42064841962.65625
Equatorial Guinea,2021,23786257535.726562
Equatorial Guinea,2022,25043028634.398438
