Year,Country,Price To Income Ratio,Gross Rental Yield City Centre,Gross Rental Yield Outside of Centre,Price To Rent Ratio City Centre,Price To Rent Ratio Outside Of City Centre,Mortgage As A Percentage Of Income,Affordability Index
2017,China,23.29,2.23,2.74,44.83,36.49,189.71,0.53
2017,Ukraine,22.87,5.3,6.01,18.88,16.63,512.06,0.2
2017,Algeria,21.76,2.66,2.96,37.6,33.8,177.68,0.56
2017,Singapore,21.63,2.75,3.65,36.41,27.39,134.33,0.74
2017,Indonesia,21.03,4.67,4.94,21.41,20.26,247.68,0.4
2017,Azerbaijan,20.35,5.47,5.51,18.28,18.15,232.95,0.43
2017,Uruguay,19.7,4.47,4.06,22.38,24.62,202.18,0.49
2017,Colombia,19.43,4.25,4.3,23.52,23.28,283.62,0.35
2017,Belarus,18.73,5.31,4.82,18.85,20.75,587.51,0.17
2017,Serbia,17.87,3.14,3.33,31.88,30.07,142.63,0.7
2017,Sri Lanka,17.49,4.91,4.47,20.38,22.38,238.64,0.42
2017,Brazil,16.96,4.01,4.02,24.92,24.85,224.6,0.45
2017,Philippines,16.91,3.75,3.54,26.69,28.29,162.87,0.61
2017,Peru,16.46,6.24,5.45,16.01,18.34,204.59,0.49
2017,Mongolia,15.77,9.78,13.36,10.22,7.49,203.47,0.49
2017,Moldova,15.5,6.06,6.58,16.51,15.19,227.88,0.44
2017,Montenegro,15.27,3.53,3.7,28.35,27.06,165.12,0.61
2017,North Macedonia,14.67,3.71,3.57,26.93,28.04,132.83,0.75
2017,Albania,14.43,3.96,5,25.22,20.02,137.95,0.72
2017,Morocco,14.4,4.99,5.01,20.04,19.98,119.43,0.84
2017,Armenia,14.29,6.27,5.21,15.94,19.19,213.1,0.47
2017,Lithuania,14.19,3.9,4.14,25.62,24.18,89.18,1.12
2017,Switzerland,14.04,3.01,3.15,33.24,31.78,81.89,1.22
2017,Lebanon,13.95,5.36,6.27,18.67,15.94,126.66,0.79
2017,Luxembourg,13.93,3.94,3.7,25.37,27.01,84.38,1.19
2017,Russia,13.55,5.75,6.31,17.39,15.85,193.91,0.52
2017,Iran,13.5,6.1,8.12,16.39,12.31,275.34,0.36
2017,Bangladesh,12.89,3.25,3.48,30.81,28.71,181.3,0.55
2017,Taiwan,12.87,1.54,1.71,64.91,58.64,78.76,1.27
2017,Japan,12.68,2.21,2.75,45.15,36.32,72.76,1.37
2017,Dominican Republic,12.6,7.02,6.51,14.24,15.36,164.37,0.61
2017,Ecuador,12.56,6.41,5.17,15.61,19.35,150.54,0.66
2017,Tunisia,12.53,4.25,4.83,23.54,20.72,113.68,0.88
2017,Italy,12.39,2.69,3.56,37.18,28.06,82.64,1.21
2017,Kazakhstan,12.38,6.23,5.82,16.06,17.18,212.01,0.47
2017,South Korea,12.38,2.04,2.51,49.1,39.9,85.47,1.17
2017,Georgia,12.35,7.63,7.45,13.1,13.43,158.43,0.63
2017,Panama,12.25,10.29,9.89,9.72,10.11,102.41,0.98
2017,Pakistan,12.09,4.08,3.81,24.51,26.26,156.97,0.64
2017,Argentina,12.07,3.77,3.9,26.53,25.64,333.23,0.3
2017,Kuwait,11.82,5.28,5.16,18.96,19.37,94.86,1.05
2017,Sweden,11.77,2.52,3.22,39.66,31.08,71.27,1.4
2017,France,11.58,3,3.67,33.29,27.22,73.86,1.35
2017,Bosnia And Herzegovina,11.35,3.41,3.31,29.36,30.18,104.89,0.95
2017,Hungary,11.2,5.43,5.97,18.43,16.76,97.32,1.03
2017,Croatia,10.91,3.31,3.69,30.24,27.07,89.21,1.12
2017,Israel,10.87,3.45,3.54,28.98,28.27,71.94,1.39
2017,Romania,10.79,4.89,4.76,20.43,20.99,83.3,1.2
2017,Czech Republic,10.7,4.17,4.61,24.01,21.71,65.37,1.53
2017,Chile,10.67,4.42,5.06,22.64,19.77,83.59,1.2
2017,Egypt,10.66,7.18,7.74,13.93,12.93,138.09,0.72
2017,Estonia,10.54,4.11,3.95,24.33,25.3,68.75,1.45
2017,Latvia,10.39,4.77,5.05,20.96,19.8,68.49,1.46
2017,India,10.28,3.08,3.81,32.44,26.24,123.44,0.81
2017,Poland,10.12,4.66,5.25,21.44,19.04,73.08,1.37
2017,United Kingdom,10,4.16,4.4,24.02,22.75,69.1,1.45
2017,Slovakia,9.85,5.62,5.57,17.78,17.94,61.59,1.62
2017,Austria,9.66,3.63,3.78,27.55,26.46,59.08,1.69
2017,Bolivia,9.65,6.03,6.76,16.58,14.79,89.13,1.12
2017,Malaysia,9.53,4.07,4.05,24.6,24.66,72.87,1.37
2017,Australia,9.24,4.9,5.05,20.41,19.82,70.87,1.41
2017,Bulgaria,9.07,5.36,5.68,18.65,17.59,77.24,1.29
2017,Turkey,8.87,5.43,6.28,18.41,15.92,121.45,0.82
2017,Portugal,8.85,5.95,6.08,16.81,16.46,60.87,1.64
2017,Malta,8.74,5.89,6.14,16.98,16.28,61.42,1.63
2017,Netherlands,8.52,5.38,5.93,18.6,16.86,56.24,1.78
2017,Costa Rica,8.52,7.16,6.56,13.96,15.25,106.17,0.94
2017,Slovenia,8.34,4.2,4.21,23.82,23.77,60.26,1.66
2017,Greece,8.33,4.14,4.2,24.15,23.8,62.48,1.6
2017,Spain,8.26,4.38,5.23,22.81,19.13,52.02,1.92
2017,Namibia,8.2,10.09,9.24,9.91,10.83,100.9,0.99
2017,Denmark,8.2,4.71,4.82,21.21,20.76,52.39,1.91
2017,New Zealand,8.14,4.99,5.92,20.04,16.9,63.92,1.56
2017,Guatemala,8.05,7.25,8.56,13.8,11.68,94.38,1.06
2017,Jordan,7.96,6.48,7.23,15.43,13.84,76.63,1.3
2017,Norway,7.9,4.18,4.51,23.94,22.16,50.95,1.96
2017,Iraq,7.79,7.04,8.25,14.2,12.12,103.64,0.96
2017,Finland,7.6,3.74,4.6,26.72,21.76,44.51,2.25
2017,Germany,7.46,3.75,4.09,26.68,24.47,45.91,2.18
2017,Ireland,7.02,6.02,6.91,16.61,14.48,50.79,1.97
2017,Belgium,6.96,5.82,5.92,17.18,16.88,44.69,2.24
2017,Mexico,6.94,6.85,6.31,14.6,15.85,86.58,1.16
2017,Canada,6.4,5.47,6.16,18.29,16.23,42.14,2.37
2017,Qatar,6.19,9.49,9.19,10.54,10.88,47.11,2.12
2017,Iceland,6.15,8.07,8.37,12.39,11.95,57.7,1.73
2017,Palestine,6.11,6.95,6.87,14.4,14.55,53.86,1.86
2017,United Arab Emirates,5.6,9.7,10.65,10.3,9.39,42.07,2.38
2017,Cyprus,5.21,4.9,5.14,20.42,19.45,39.85,2.51
2017,Puerto Rico,5.11,7.03,6.54,14.22,15.28,40.14,2.49
2017,Libya,3.9,7.1,7.13,14.08,14.03,26.6,3.76
2017,South Africa,3.58,9.51,10.41,10.51,9.6,41.97,2.38
2017,United States,3.26,11.23,12.24,8.9,8.17,23.53,4.25
2018,Hong Kong,41.08,1.95,1.91,51.37,52.34,257.22,0.39
2018,China,28.2,1.76,2.12,56.83,47.1,224.3,0.45
2018,Thailand,22.78,3.76,3.62,26.57,27.61,195.53,0.51
2018,Algeria,22.23,2.56,2.81,39.14,35.62,184.28,0.54
2018,Singapore,22.2,2.67,3.17,37.47,31.58,138.59,0.72
2018,Vietnam,21.34,4.93,6.96,20.27,14.36,227.34,0.44
2018,Azerbaijan,20.12,5.36,5.36,18.67,18.65,227.73,0.44
2018,Peru,18.93,4.8,5.31,20.85,18.83,227.75,0.44
2018,Uruguay,18.52,4.97,4.65,20.1,21.49,193.01,0.52
2018,Ukraine,18.21,6.04,6.59,16.57,15.18,387.91,0.26
2018,Colombia,18.09,4.18,4.43,23.93,22.58,249.78,0.4
2018,Philippines,17.84,4.17,3.57,23.95,27.97,172.8,0.58
2018,Serbia,17.22,3.2,3.38,31.26,29.55,129.74,0.77
2018,Brazil,16.26,4.06,4.17,24.61,23.95,215.96,0.46
2018,Belarus,16,4.98,4.6,20.07,21.72,298.55,0.33
2018,Montenegro,15.05,3.44,3.95,29.11,25.3,139.49,0.72
2018,Moldova,14.85,6.44,6.59,15.53,15.17,205.91,0.49
2018,Taiwan,14.35,1.44,1.77,69.22,56.5,87.29,1.15
2018,Albania,14.25,3.69,4.75,27.07,21.05,129.22,0.77
2018,Panama,14.14,8.21,7.96,12.19,12.57,113.8,0.88
2018,South Korea,14.05,1.79,1.86,55.73,53.72,98.21,1.02
2018,Israel,13.85,2.63,3.05,38.03,32.74,94.37,1.06
2018,Lebanon,13.72,5.02,5.92,19.93,16.88,121.26,0.82
2018,Armenia,13.58,6.66,5.64,15.02,17.74,194.54,0.51
2018,North Macedonia,13.55,3.92,3.73,25.53,26.8,122.45,0.82
2018,Tunisia,13.51,4.22,4.9,23.69,20.4,123.18,0.81
2018,Hungary,13.32,4.49,5.34,22.25,18.72,112.96,0.89
2018,Morocco,13.29,5.34,5.06,18.71,19.77,112.11,0.89
2018,Chile,13.09,4.37,4.33,22.89,23.1,101.35,0.99
2018,Indonesia,13.07,4.56,4.83,21.92,20.72,136.15,0.73
2018,Lithuania,13.02,3.97,4.22,25.19,23.7,79.1,1.26
2018,Ecuador,13,5.41,5.11,18.49,19.57,161.7,0.62
2018,Kazakhstan,12.84,6.26,5.95,15.98,16.82,229.86,0.44
2018,Czech Republic,12.73,3.74,4.08,26.76,24.49,77.39,1.29
2018,Dominican Republic,12.68,6.57,6.51,15.23,15.35,172.89,0.58
2018,Egypt,12.68,6.92,6.71,14.46,14.9,207.7,0.48
2018,Kosovo (Disputed Territory),12.67,3.68,4.89,27.14,20.44,109.4,0.91
2018,Japan,12.64,2.03,2.56,49.26,39.07,71,1.41
2018,Pakistan,12.48,4.43,4.11,22.55,24.32,159.56,0.63
2018,Bangladesh,12.46,3.84,3.41,26.06,29.3,161.59,0.62
2018,Iran,12.45,6.64,8.02,15.05,12.47,238.61,0.42
2018,Georgia,12.45,7.2,7.62,13.9,13.13,154.58,0.65
2018,Bosnia And Herzegovina,11.56,3.43,3.14,29.15,31.84,101.04,0.99
2018,Russia,11.44,6.28,6.46,15.93,15.49,154.85,0.65
2018,Luxembourg,11.18,3.94,3.97,25.36,25.19,67.59,1.48
2018,Croatia,11.09,3.59,3.73,27.87,26.8,90.62,1.1
2018,Switzerland,10.94,2.65,3,37.74,33.37,62.84,1.59
2018,Bolivia,10.83,5.59,6.09,17.89,16.42,95.61,1.05
2018,Argentina,10.68,4.2,4.2,23.8,23.79,286.2,0.35
2018,Sweden,10.52,2.61,3.37,38.37,29.67,63.02,1.59
2018,Portugal,10.01,5.53,6.36,18.09,15.71,65.58,1.52
2018,France,9.93,3.2,3.66,31.29,27.36,60.78,1.65
2018,Italy,9.88,3.54,4.28,28.25,23.35,63.15,1.58
2018,Slovakia,9.88,5.51,5.76,18.14,17.37,59.58,1.68
2018,Poland,9.77,4.91,5.28,20.39,18.92,69.57,1.44
2018,Latvia,9.77,5.17,5.42,19.35,18.45,64.59,1.55
2018,Malta,9.75,5.8,6.77,17.24,14.78,68.9,1.45
2018,India,9.73,3.05,3.78,32.78,26.44,112.15,0.89
2018,Malaysia,9.62,3.75,4.18,26.68,23.92,73.37,1.36
2018,Austria,9.58,3.6,3.87,27.8,25.87,58.7,1.7
2018,Greece,9.46,4,4.35,25,23.01,70.7,1.41
2018,United Kingdom,9.31,3.88,4.61,25.76,21.67,63.26,1.58
2018,Estonia,9.24,4.15,4.42,24.09,22.62,58.1,1.72
2018,Romania,9.1,4.82,4.84,20.76,20.65,62.5,1.6
2018,Turkey,8.95,5.21,6.14,19.19,16.29,123.62,0.81
2018,Norway,8.71,3.64,4.09,27.45,24.44,55.55,1.8
2018,Iraq,8.64,6.53,7.45,15.32,13.42,119.75,0.84
2018,Bulgaria,8.58,5.42,5.72,18.43,17.48,67.03,1.49
2018,Slovenia,8.38,4.15,4.09,24.08,24.45,59.03,1.69
2018,New Zealand,8.18,4.83,4.93,20.68,20.3,64.31,1.55
2018,Germany,8.05,3.57,3.9,28.04,25.61,48.33,2.07
2018,Spain,8,4.68,5.57,21.36,17.96,49.83,2.01
2018,Costa Rica,7.91,7.29,7.51,13.72,13.31,91.32,1.1
2018,Mexico,7.8,6.48,6.15,15.44,16.25,97.3,1.03
2018,Ireland,7.63,6.17,7.49,16.2,13.35,54.8,1.82
2018,Finland,7.49,3.75,4.56,26.69,21.92,43.31,2.31
2018,Australia,7.41,4.97,5.15,20.13,19.41,56.1,1.78
2018,Jordan,7.28,7.26,8.19,13.77,12.21,70.3,1.42
2018,Denmark,7.22,4.18,4.79,23.93,20.88,44.67,2.24
2018,Belgium,7.1,4.93,4.92,20.29,20.32,44.91,2.23
2018,Iceland,6.85,6.71,7.5,14.91,13.34,59.97,1.67
2018,Netherlands,6.74,5.31,6.15,18.82,16.25,43.09,2.32
2018,Canada,6.12,5.35,6.01,18.69,16.63,40.41,2.47
2018,Palestine,5.39,6.18,6.61,16.19,15.14,50.12,2
2018,Cyprus,5.33,5.46,5.69,18.31,17.58,39.17,2.55
2018,United Arab Emirates,4.88,10.26,10.6,9.74,9.43,35.87,2.79
2018,South Africa,3.49,10.17,10.34,9.83,9.67,41.8,2.39
2018,United States,3.34,10.75,11.8,9.3,8.47,24.1,4.15
2019,Hong Kong,49.42,1.84,1.86,54.47,53.79,310.55,0.32
2019,China,29.09,1.83,2.01,54.51,49.85,231.33,0.43
2019,Taiwan,28.91,1.97,2.38,50.65,41.99,174.62,0.57
2019,Sri Lanka,26.32,3.41,3.25,29.35,30.77,403.42,0.25
2019,Nepal,25.15,2.38,2.87,41.99,34.86,325.46,0.31
2019,Thailand,21.94,3.52,3.66,28.43,27.34,182.02,0.55
2019,Philippines,21.83,3.51,3.74,28.48,26.75,206.69,0.48
2019,Singapore,21.56,2.37,2.7,42.13,37,133.06,0.75
2019,Algeria,21.22,2.71,3.02,36.84,33.1,180.38,0.55
2019,Vietnam,19.66,4.45,5.76,22.47,17.36,209.4,0.48
2019,Argentina,19.02,2.57,2.85,38.89,35.14,566.2,0.18
2019,Colombia,18.85,4.43,4.75,22.57,21.06,253.32,0.39
2019,Brazil,18.72,3.73,3.83,26.84,26.11,219.77,0.46
2019,Serbia,18.62,3.04,3.31,32.94,30.2,133.07,0.75
2019,South Korea,17.58,1.36,1.74,73.68,57.61,122.07,0.82
2019,Azerbaijan,17.22,5.03,5.69,19.89,17.58,178.87,0.56
2019,Iran,16.87,5.82,7.06,17.2,14.16,335.16,0.3
2019,Peru,16,4.83,5.67,20.71,17.64,186.89,0.54
2019,Albania,15.2,4.28,5.27,23.37,18.99,128.83,0.78
2019,Czech Republic,15.17,3.3,3.72,30.28,26.86,96.35,1.04
2019,Morocco,14.71,4.61,4.45,21.71,22.48,122.95,0.81
2019,Ukraine,14.35,6.45,7.6,15.5,13.16,291.44,0.34
2019,Belarus,14.27,4.77,4.55,20.96,21.96,212.6,0.47
2019,Armenia,14.09,6.38,6.31,15.67,15.85,187.15,0.53
2019,Pakistan,14.06,4.11,4,24.3,24.98,184.06,0.54
2019,Uruguay,13.99,4.25,4.2,23.54,23.8,143.83,0.7
2019,Israel,13.98,2.67,3.11,37.47,32.11,97.11,1.03
2019,Moldova,13.83,5.66,6.39,17.68,15.66,183.14,0.55
2019,Indonesia,13.81,5.06,5.11,19.75,19.55,143.25,0.7
2019,Montenegro,13.69,4.11,4.13,24.35,24.19,119.83,0.83
2019,Dominican Republic,13.66,6.3,6.88,15.87,14.54,194.73,0.51
2019,North Macedonia,13.65,4.03,4.02,24.79,24.85,120.31,0.83
2019,Egypt,13.6,6.06,6.45,16.5,15.51,200.82,0.5
2019,Chile,13.51,4.28,4.18,23.37,23.95,98.89,1.01
2019,Lebanon,13.44,5.06,6.32,19.77,15.83,117.78,0.85
2019,Ecuador,13.11,5.43,5.02,18.42,19.92,161.92,0.62
2019,France,12.85,2.55,3.13,39.18,31.91,76.33,1.31
2019,Portugal,12.71,4.94,6.34,20.23,15.77,81.02,1.23
2019,Georgia,12.67,6.63,7.25,15.08,13.79,164.7,0.61
2019,Panama,12.67,8.08,7.85,12.38,12.74,101.36,0.99
2019,Hungary,12.58,4.35,4.98,22.98,20.09,105.18,0.95
2019,Russia,12.39,5.86,6.01,17.07,16.63,149.15,0.67
2019,Bangladesh,12.33,3.33,3.82,30,26.15,153.78,0.65
2019,Bosnia And Herzegovina,12.28,3.23,3.12,30.97,32.02,100.31,1
2019,Tunisia,12.27,4.57,4.89,21.86,20.43,115.77,0.86
2019,Luxembourg,11.64,3.98,4.22,25.11,23.71,70.38,1.42
2019,Croatia,11.63,3.47,3.57,28.85,28.02,89.94,1.11
2019,Kazakhstan,11.51,7.22,6.52,13.85,15.34,203.22,0.49
2019,Guatemala,11.37,6.28,7.46,15.91,13.4,115.07,0.87
2019,India,11.33,2.88,3.56,34.7,28.13,125.75,0.8
2019,Japan,11.25,2.48,3.07,40.25,32.61,64.15,1.56
2019,Lithuania,11.11,4.18,4.39,23.9,22.76,68.45,1.46
2019,Kosovo (Disputed Territory),11.06,4.13,5.08,24.21,19.68,90.4,1.11
2019,Malta,10.82,5.78,7.1,17.3,14.09,76.02,1.32
2019,Slovakia,10.27,5.41,5.26,18.48,18.99,61.49,1.63
2019,Poland,10.27,4.85,5.18,20.6,19.29,73.58,1.36
2019,Sweden,10.26,2.78,3.5,35.91,28.57,67.78,1.48
2019,Mexico,10.19,5.67,5.82,17.65,17.18,126.57,0.79
2019,Slovenia,10.16,3.76,3.87,26.58,25.81,69.99,1.43
2019,Romania,10.15,4.41,4.55,22.66,21.99,72.83,1.37
2019,Austria,10.14,3.43,3.9,29.14,25.63,62.11,1.61
2019,Bolivia,10.12,6.49,7.13,15.41,14.03,94.22,1.06
2019,Italy,9.97,3.68,4.49,27.19,22.29,62.16,1.61
2019,Greece,9.84,4.27,4.16,23.45,24.02,76.93,1.3
2019,Malaysia,9.77,3.84,3.99,26.06,25.04,74.4,1.34
2019,Switzerland,9.63,2.83,3.18,35.29,31.42,56,1.79
2019,Latvia,9.35,4.68,5.32,21.37,18.81,60.37,1.66
2019,Costa Rica,9.31,6.92,6.62,14.46,15.11,104.61,0.96
2019,Estonia,9.31,4.19,4.32,23.88,23.16,59.98,1.67
2019,Turkey,9.26,4.9,5.74,20.4,17.42,185.44,0.54
2019,Spain,9.21,4.39,5.09,22.76,19.64,57.96,1.73
2019,United Kingdom,9.16,3.97,4.3,25.18,23.27,62.25,1.61
2019,Germany,9.02,3.34,3.58,29.94,27.95,54.17,1.85
2019,Iraq,9,6.29,7.4,15.89,13.52,110.56,0.9
2019,Bulgaria,8.72,5.25,5.88,19.05,17.02,65.34,1.53
2019,Norway,8.4,3.81,4.31,26.21,23.18,54.15,1.85
2019,New Zealand,8.34,4.56,4.9,21.95,20.4,65.2,1.53
2019,Finland,7.98,3.48,4.37,28.75,22.9,46.1,2.17
2019,Ireland,7.9,5.51,7.16,18.13,13.96,56.55,1.77
2019,Jordan,7.67,6.75,7.75,14.81,12.91,76.66,1.3
2019,Canada,7.66,4.36,5.25,22.92,19.03,53.26,1.88
2019,Australia,7.6,4.62,4.78,21.67,20.94,57.42,1.74
2019,Netherlands,7.38,5.24,5.81,19.09,17.21,46.93,2.13
2019,Belgium,7.18,5.04,5,19.85,20.02,44.12,2.27
2019,Cyprus,7.17,6.22,6.72,16.07,14.89,50.91,1.96
2019,Denmark,6.93,4.46,4.88,22.43,20.49,42.54,2.35
2019,Iceland,6.58,6.83,7.37,14.65,13.57,58.03,1.72
2019,Qatar,5.74,6.96,7.27,14.37,13.76,44.29,2.26
2019,Palestine,5.42,5.88,6.56,17,15.24,53.58,1.87
2019,United Arab Emirates,4.4,10.24,10.68,9.77,9.36,31.52,3.17
2019,South Africa,4.11,9.56,11.16,10.46,8.96,49.15,2.03
2019,United States,3.58,10.4,11.24,9.61,8.9,26.81,3.73
2020,Venezuela,133.29,6.22,6.45,16.08,15.49,3025.03,0.03
2020,Syria,60.83,2.71,3,36.93,33.29,662.83,0.15
2020,Hong Kong,47.46,1.77,1.83,56.45,54.74,303.35,0.33
2020,Cambodia,42.33,4.78,6.2,20.93,16.13,479.45,0.21
2020,Kenya,31.63,2.15,4.07,46.56,24.54,472.19,0.21
2020,Sri Lanka,31.14,2.88,2.36,34.76,42.32,478.77,0.21
2020,China,29.06,1.71,1.91,58.34,52.38,231.68,0.43
2020,Iran,25.11,4.92,5.43,20.33,18.41,515.47,0.19
2020,Nepal,24.74,2.57,3.23,38.9,30.95,314.15,0.32
2020,Philippines,24.6,3.44,3.95,29.04,25.35,237.12,0.42
2020,Argentina,24.53,1.93,1.95,51.89,51.32,1041.24,0.1
2020,Taiwan,23.69,1.38,1.5,72.61,66.6,142.46,0.7
2020,Singapore,22.31,2.32,2.78,43.02,35.96,142.09,0.7
2020,Thailand,22.26,3.22,3.72,31.02,26.9,185.69,0.54
2020,Vietnam,21.36,4.23,5.55,23.65,18.02,228.46,0.44
2020,Colombia,19.65,4.53,4.09,22.08,24.45,255.62,0.39
2020,Serbia,18.94,3.09,3.42,32.33,29.26,135.81,0.74
2020,Indonesia,18.88,4.77,5.08,20.95,19.67,220.84,0.45
2020,Algeria,17.81,3,3.81,33.29,26.21,150.28,0.67
2020,South Korea,17.37,1.48,1.79,67.35,55.91,121.78,0.82
2020,Armenia,16.62,5.84,5.75,17.12,17.4,213.97,0.47
2020,Brazil,16.41,4.11,4.32,24.32,23.16,188.61,0.53
2020,Uruguay,16.34,3.97,4.05,25.21,24.7,165.87,0.6
2020,Azerbaijan,16.24,5.25,5.43,19.05,18.4,165.33,0.6
2020,Albania,15.49,4.2,5.3,23.82,18.86,125.86,0.79
2020,Czech Republic,15.42,3.32,3.65,30.08,27.37,99.53,1
2020,Uzbekistan,15.31,6.11,7.23,16.36,13.82,288.74,0.35
2020,Peru,14.95,5.48,5.08,18.24,19.68,162.85,0.61
2020,Chile,14.93,4.34,3.89,23.02,25.69,106.28,0.94
2020,Hungary,14.77,3.8,4.27,26.31,23.4,116.46,0.86
2020,Belarus,14.65,5.03,4.62,19.86,21.63,223.16,0.45
2020,Georgia,14.21,7.63,8.51,13.11,11.75,196.1,0.51
2020,Morocco,14.18,4.49,4.66,22.27,21.47,114.32,0.87
2020,Croatia,13.73,3.41,3.55,29.28,28.2,101.72,0.98
2020,Dominican Republic,13.48,6.69,6.49,14.95,15.4,183.43,0.55
2020,Montenegro,13.23,4.57,4.37,21.9,22.9,117.5,0.85
2020,Lebanon,13.23,5.06,5.81,19.77,17.21,122.53,0.82
2020,Bangladesh,13.1,2.91,3.69,34.41,27.09,163.36,0.61
2020,France,13.04,2.44,3.02,41,33.08,76.69,1.3
2020,Egypt,13.01,5.57,6.23,17.96,16.04,193.89,0.52
2020,Japan,13,2.11,2.56,47.39,39,75.15,1.33
2020,Israel,12.83,3.2,3.1,31.21,32.25,90.29,1.11
2020,Ecuador,12.7,5.53,5.4,18.08,18.52,150.75,0.66
2020,Portugal,12.7,5.04,6.11,19.85,16.38,79.24,1.26
2020,Panama,12.6,8.18,8.02,12.22,12.47,101.92,0.98
2020,North Macedonia,12.6,4.01,4.02,24.93,24.85,106.11,0.94
2020,Bosnia And Herzegovina,12.58,3.36,3.22,29.73,31.08,98.12,1.02
2020,Malta,12.32,5.69,7.01,17.57,14.26,90.4,1.11
2020,Kuwait,12.28,3.38,5.26,29.56,19.02,100.31,1
2020,Ukraine,12.23,6.47,7.5,15.46,13.33,243.98,0.41
2020,Pakistan,11.98,4.87,5.27,20.54,18.98,178.79,0.56
2020,Luxembourg,11.61,3.52,4.01,28.37,24.92,69.7,1.43
2020,Poland,11.38,4.46,4.94,22.45,20.24,82.23,1.22
2020,India,11.38,2.99,3.59,33.46,27.84,126.19,0.79
2020,Romania,11.33,4.4,4.52,22.73,22.11,94.22,1.06
2020,Lithuania,10.9,4.09,4.33,24.43,23.09,68.53,1.46
2020,Austria,10.88,3.28,3.59,30.53,27.83,66.86,1.5
2020,Kazakhstan,10.86,6.47,5.98,15.45,16.72,176.94,0.57
2020,Russia,10.77,5.89,5.95,16.99,16.82,129.82,0.77
2020,Honduras,10.77,7.41,6.29,13.5,15.89,130.96,0.76
2020,Kosovo (Disputed Territory),10.67,4.79,5.2,20.89,19.23,82.59,1.21
2020,Mexico,10.67,5.87,5.78,17.03,17.3,132.75,0.75
2020,Tunisia,10.63,5.03,5.16,19.89,19.37,109.19,0.92
2020,Greece,10.6,4.22,4.09,23.68,24.45,81.95,1.22
2020,Slovenia,10.49,3.83,3.91,26.12,25.59,71.56,1.4
2020,Costa Rica,10.31,5.96,5.21,16.79,19.2,119.42,0.84
2020,Slovakia,10.25,5.1,5.43,19.6,18.42,60.15,1.66
2020,United Kingdom,10.09,3.52,4.11,28.45,24.33,68.71,1.46
2020,Guatemala,10.08,7.12,7.51,14.05,13.31,98.73,1.01
2020,Malaysia,9.94,3.67,3.94,27.27,25.41,75.44,1.33
2020,Italy,9.71,3.86,4.78,25.92,20.94,59.11,1.69
2020,Bolivia,9.69,6.87,6.94,14.56,14.4,100.09,1
2020,Germany,9.38,3.22,3.54,31.01,28.25,56.33,1.78
2020,Spain,9.37,4.64,5.21,21.55,19.2,58.71,1.7
2020,Sweden,9.27,3.08,3.5,32.45,28.54,61.57,1.62
2020,Iraq,9.12,5.9,7.38,16.94,13.55,99.66,1
2020,Oman,9.08,3.56,4.98,28.07,20.09,71.33,1.4
2020,Estonia,9.06,4.02,4.12,24.9,24.26,57.2,1.75
2020,Latvia,8.85,4.62,5.3,21.66,18.88,56.43,1.77
2020,Norway,8.77,3.64,4.09,27.47,24.45,57.3,1.75
2020,Switzerland,8.68,2.97,3.28,33.71,30.49,50.83,1.97
2020,Bahrain,8.63,7.46,7.77,13.41,12.88,77.22,1.29
2020,New Zealand,8.52,4.25,4.58,23.51,21.86,65.54,1.53
2020,Bulgaria,8.52,5.23,5.76,19.14,17.36,61.27,1.63
2020,Jordan,8.42,6.43,7.09,15.56,14.1,83.64,1.2
2020,Finland,8.35,3.3,4.28,30.34,23.37,48.1,2.08
2020,Cyprus,8.2,6.17,6.31,16.2,15.85,55.94,1.79
2020,Canada,7.97,4.29,5.28,23.33,18.94,56.41,1.77
2020,Turkey,7.81,5.53,5.95,18.09,16.81,155.46,0.64
2020,Australia,7.52,4.47,4.67,22.35,21.43,55.61,1.8
2020,Netherlands,7.51,5.28,5.56,18.93,17.98,47.12,2.12
2020,Ireland,7.49,6.64,7.06,15.05,14.17,52.5,1.9
2020,Denmark,7.45,4.04,4.07,24.77,24.58,44.56,2.24
2020,Belgium,6.91,4.92,5.08,20.33,19.67,41.27,2.42
2020,Iceland,6.74,6.47,7.16,15.46,13.96,59.36,1.68
2020,Trinidad And Tobago,6.1,11.36,7.61,8.8,13.15,54.47,1.84
2020,Qatar,5.82,7.19,7.38,13.92,13.54,45.3,2.21
2020,United Arab Emirates,5.29,9.05,9.09,11.05,11,39.23,2.55
2020,Namibia,5.15,10.34,10.3,9.67,9.71,65.42,1.53
2020,Palestine,4.38,7.16,7.53,13.97,13.28,46.46,2.15
2020,South Africa,3.93,9.85,11.3,10.15,8.85,47.5,2.11
2020,Puerto Rico,3.53,9.34,8.12,10.7,12.31,27.25,3.67
2020,United States,3.52,10.36,11.23,9.65,8.9,26.35,3.79
2021,Syria,63.23,2.94,3.16,34,31.69,709.44,0.14
2021,Hong Kong,45.19,1.62,1.74,61.64,57.56,288.29,0.35
2021,Jamaica,35.95,2.84,1.2,35.27,83.54,374.4,0.27
2021,Cambodia,35.81,4.99,5.55,20.02,18.01,429.03,0.23
2021,Sri Lanka,35.01,2.76,2.72,36.24,36.74,534.08,0.19
2021,Iran,34.24,4.13,4.9,24.18,20.4,730.02,0.14
2021,Philippines,30.14,3.28,3.25,30.51,30.75,294.61,0.34
2021,China,29.02,1.52,1.72,65.73,58.11,232.37,0.43
